|bowler|venue|final_score_ball|matches
1790|M Morkel|Rajiv Gandhi International Stadium, Uppal|8.20425|1
1791|M Morkel|Sawai Mansingh Stadium|7.5855|1
1792|M Morkel|Shaheed Veer Narayan Singh International Stadium|7.26675|1
1793|M Morkel|Sharjah Cricket Stadium|6.32925|1
1794|M Morkel|Sheikh Zayed Stadium|8.823|1
1795|M Morkel|Subrata Roy Sahara Stadium|6.9479999999999995|1
1796|M Morkel|SuperSport Park|8.20425|1
1797|M Morkel|Vidarbha Cricket Association Stadium, Jamtha|6.32925|1
1798|M Morkel|Wankhede Stadium|8.673|1
1799|M Muralitharan|Brabourne Stadium|9.61125|1
1800|M Muralitharan|Buffalo Park|9.61125|1
1801|M Muralitharan|De Beers Diamond Oval|9.61125|1
1802|M Muralitharan|Dr DY Patil Sports Academy|8.205|1
1803|M Muralitharan|Eden Gardens|6.79875|1
1804|M Muralitharan|Feroz Shah Kotla|7.73625|1
1805|M Muralitharan|JSCA International Stadium Complex|7.73625|1
1806|M Muralitharan|Kingsmead|7.73625|1
1807|M Muralitharan|M Chinnaswamy Stadium|8.07375|1
1808|M Muralitharan|MA Chidambaram Stadium, Chepauk|7.605|1
1809|M Muralitharan|Nehru Stadium|5.86125|1
1810|M Muralitharan|New Wanderers Stadium|7.73625|1
1811|M Muralitharan|Punjab Cricket Association Stadium, Mohali|7.73625|1
1812|M Muralitharan|Rajiv Gandhi International Stadium, Uppal|7.73625|1
1813|M Muralitharan|Sardar Patel Stadium, Motera|5.86125|1
1814|M Muralitharan|Sawai Mansingh Stadium|6.79875|1
1815|M Muralitharan|Sharjah Cricket Stadium|5.86125|1
1816|M Muralitharan|St George's Park|9.61125|1
1817|M Muralitharan|Subrata Roy Sahara Stadium|7.73625|1
1818|M Muralitharan|SuperSport Park|7.117500000000001|1
1819|M Muralitharan|Wankhede Stadium|7.73625|1
1820|M Ntini|Dr DY Patil Sports Academy|5.625|1
1821|M Ntini|Eden Gardens|13.125|1
1822|M Ntini|MA Chidambaram Stadium, Chepauk|6.09375|1
1823|M Ntini|Rajiv Gandhi International Stadium, Uppal|7.5|1
1824|M Ntini|Sawai Mansingh Stadium|5.625|1
1825|M Ntini|Wankhede Stadium|9.375|1
1826|M Prasidh Krishna|Eden Gardens|13.50475|1
1827|M Prasidh Krishna|Feroz Shah Kotla|10.44225|1
1828|M Prasidh Krishna|Holkar Cricket Stadium|19.192249999999998|1
1829|M Prasidh Krishna|M.Chinnaswamy Stadium|10.44225|1
1830|M Prasidh Krishna|MA Chidambaram Stadium, Chepauk|10.44225|1
1831|M Prasidh Krishna|Rajiv Gandhi International Stadium, Uppal|32.31725|1
1832|M Prasidh Krishna|Sawai Mansingh Stadium|14.81725|1
1833|M Prasidh Krishna|Sharjah Cricket Stadium|12.62975|1
1834|M Prasidh Krishna|Sheikh Zayed Stadium|13.7235|1
1835|M Prasidh Krishna|Wankhede Stadium|12.62975|1
1836|M Vijay|Punjab Cricket Association IS Bindra Stadium, Mohali|0.0|1
1837|M Vijay|Punjab Cricket Association Stadium, Mohali|0.0|1
1838|M Vijay|Sheikh Zayed Stadium|0.0|1
1839|M de Lange|Eden Gardens|8.04|1
1840|M de Lange|MA Chidambaram Stadium, Chepauk|8.04|1
1841|M de Lange|Wankhede Stadium|9.915|1
1842|MA Khote|MA Chidambaram Stadium, Chepauk|8.7|1
1843|MA Khote|Punjab Cricket Association Stadium, Mohali|4.95|1
1844|MA Starc|Dubai International Cricket Stadium|10.341|1
1845|MA Starc|Eden Gardens|9.4035|1
1846|MA Starc|Feroz Shah Kotla|13.1535|1
1847|MA Starc|JSCA International Stadium Complex|9.4035|1
1848|MA Starc|M Chinnaswamy Stadium|10.228499999999999|1
1849|MA Starc|MA Chidambaram Stadium, Chepauk|15.0285|1
1850|MA Starc|Maharashtra Cricket Association Stadium|9.4035|1
1851|MA Starc|Punjab Cricket Association Stadium, Mohali|9.4035|1
1852|MA Starc|Rajiv Gandhi International Stadium, Uppal|8.466|1
1853|MA Starc|Sardar Patel Stadium, Motera|13.1535|1
1854|MA Starc|Sharjah Cricket Stadium|10.341|1
1855|MA Starc|Sheikh Zayed Stadium|11.2785|1
1856|MA Starc|Wankhede Stadium|9.4035|1
1857|MA Wood|Wankhede Stadium|-1.575|1
1858|MB Parmar|Eden Gardens|-0.6749999999999999|1
1859|MC Henriques|Barabati Stadium|5.76075|1
1860|MC Henriques|Brabourne Stadium|5.76075|1
1861|MC Henriques|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|5.76075|1
1862|MC Henriques|Eden Gardens|4.5045|1
1863|MC Henriques|Feroz Shah Kotla|6.13575|1
1864|MC Henriques|Green Park|3.88575|1
1865|MC Henriques|Kingsmead|4.82325|1
1866|MC Henriques|M Chinnaswamy Stadium|4.63575|1
1867|MC Henriques|Maharashtra Cricket Association Stadium|3.88575|1
1868|MC Henriques|New Wanderers Stadium|5.76075|1
1869|MC Henriques|Newlands|3.88575|1
1870|MC Henriques|Punjab Cricket Association IS Bindra Stadium, Mohali|4.82325|1
1871|MC Henriques|Punjab Cricket Association Stadium, Mohali|4.82325|1
1872|MC Henriques|Rajiv Gandhi International Stadium, Uppal|5.667|1
1873|MC Henriques|Sardar Patel Stadium, Motera|5.76075|1
1874|MC Henriques|Saurashtra Cricket Association Stadium|3.88575|1
1875|MC Henriques|Sawai Mansingh Stadium|5.76075|1
1876|MC Henriques|Shaheed Veer Narayan Singh International Stadium|3.88575|1
1877|MC Henriques|Subrata Roy Sahara Stadium|7.63575|1
1878|MF Maharoof|Eden Gardens|9.46875|1
1879|MF Maharoof|Feroz Shah Kotla|10.18125|1
1880|MF Maharoof|M Chinnaswamy Stadium|15.09375|1
1881|MF Maharoof|New Wanderers Stadium|7.59375|1
1882|MF Maharoof|OUTsurance Oval|11.34375|1
1883|MF Maharoof|Punjab Cricket Association Stadium, Mohali|10.40625|1
1884|MF Maharoof|Rajiv Gandhi International Stadium, Uppal|11.34375|1
1885|MF Maharoof|Sardar Patel Stadium, Motera|9.46875|1
1886|MF Maharoof|Sawai Mansingh Stadium|13.21875|1
1887|MF Maharoof|Wankhede Stadium|13.21875|1
1888|MG Johnson|Barabati Stadium|8.33025|1
1889|MG Johnson|Dubai International Cricket Stadium|10.20525|1
1890|MG Johnson|Eden Gardens|27.07375|2
1891|MG Johnson|Feroz Shah Kotla|21.517500000000002|2
1892|MG Johnson|M Chinnaswamy Stadium|8.70525|1
1893|MG Johnson|M.Chinnaswamy Stadium|15.06225|1
1894|MG Johnson|MA Chidambaram Stadium, Chepauk|7.39275|1
1895|MG Johnson|Maharashtra Cricket Association Stadium|8.33025|1
1896|MG Johnson|Punjab Cricket Association IS Bindra Stadium, Mohali|9.26775|1
1897|MG Johnson|Punjab Cricket Association Stadium, Mohali|9.586500000000001|1
1898|MG Johnson|Rajiv Gandhi International Stadium, Uppal|9.586500000000001|1
1899|MG Johnson|Sardar Patel Stadium, Motera|8.33025|1
1900|MG Johnson|Sawai Mansingh Stadium|6.45525|1
1901|MG Johnson|Sharjah Cricket Stadium|9.26775|1
1902|MG Johnson|Sheikh Zayed Stadium|8.33025|1
1903|MG Johnson|Subrata Roy Sahara Stadium|10.20525|1
1904|MG Johnson|Wankhede Stadium|24.405|2
1905|MG Neser|Punjab Cricket Association Stadium, Mohali|-0.6749999999999999|1
1906|MJ Clarke|Eden Gardens|2.6999999999999997|1
1907|MJ Clarke|Subrata Roy Sahara Stadium|4.10625|1
1908|MJ Henry|Punjab Cricket Association IS Bindra Stadium, Mohali|5.8875|1
1909|MJ Henry|Wankhede Stadium|2.1374999999999997|1
1910|MJ McClenaghan|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|9.704999999999998|1
1911|MJ McClenaghan|Eden Gardens|33.099999999999994|2
1912|MJ McClenaghan|Feroz Shah Kotla|10.342499999999998|1
1913|MJ McClenaghan|Green Park|7.211249999999999|1
1914|MJ McClenaghan|Holkar Cricket Stadium|32.162499999999994|2
1915|MJ McClenaghan|M Chinnaswamy Stadium|9.704999999999998|1
1916|MJ McClenaghan|M.Chinnaswamy Stadium|21.201249999999998|1
1917|MJ McClenaghan|MA Chidambaram Stadium, Chepauk|9.08625|1
1918|MJ McClenaghan|Maharashtra Cricket Association Stadium|34.662499999999994|2
1919|MJ McClenaghan|Punjab Cricket Association IS Bindra Stadium, Mohali|27.787499999999994|2
1920|MJ McClenaghan|Punjab Cricket Association Stadium, Mohali|7.211249999999999|1
1921|MJ McClenaghan|Rajiv Gandhi International Stadium, Uppal|26.531249999999996|2
1922|MJ McClenaghan|Saurashtra Cricket Association Stadium|7.211249999999999|1
1923|MJ McClenaghan|Sawai Mansingh Stadium|21.201249999999998|1
1924|MJ McClenaghan|Wankhede Stadium|33.412499999999994|2
1925|MJ Santner|Dubai International Cricket Stadium|18.549999999999997|1
1926|MJ Santner|Eden Gardens|18.549999999999997|1
1927|MJ Santner|MA Chidambaram Stadium, Chepauk|18.549999999999997|1
1928|MJ Santner|Sawai Mansingh Stadium|18.549999999999997|1
1929|MK Lomror|Sawai Mansingh Stadium|0.0|1
1930|MK Tiwary|Eden Gardens|0.882|1
1931|MK Tiwary|Kingsmead|0.26325|1
1932|MK Tiwary|Rajiv Gandhi International Stadium, Uppal|0.61425|1
1933|MK Tiwary|Sardar Patel Stadium, Motera|0.26325|1
1934|MM Ali|Dubai International Cricket Stadium|11.67425|1
1935|MM Ali|Eden Gardens|13.86175|1
1936|MM Ali|Feroz Shah Kotla|13.86175|1
1937|MM Ali|Holkar Cricket Stadium|26.98675|1
1938|MM Ali|M.Chinnaswamy Stadium|12.768|1
1939|MM Ali|MA Chidambaram Stadium, Chepauk|13.86175|1
1940|MM Ali|Punjab Cricket Association IS Bindra Stadium, Mohali|13.86175|1
1941|MM Ali|Rajiv Gandhi International Stadium, Uppal|9.486749999999999|1
1942|MM Ali|Sawai Mansingh Stadium|9.486749999999999|1
1943|MM Ali|Sheikh Zayed Stadium|9.486749999999999|1
1944|MM Ali|Wankhede Stadium|18.23675|1
1945|MM Patel|De Beers Diamond Oval|6.936749999999999|1
1946|MM Patel|Dr DY Patil Sports Academy|7.555499999999999|1
1947|MM Patel|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|14.43675|1
1948|MM Patel|Eden Gardens|9.74925|1
1949|MM Patel|Feroz Shah Kotla|6.936749999999999|1
1950|MM Patel|Green Park|6.936749999999999|1
1951|MM Patel|Kingsmead|12.56175|1
1952|MM Patel|M Chinnaswamy Stadium|8.43675|1
1953|MM Patel|MA Chidambaram Stadium, Chepauk|10.68675|1
1954|MM Patel|Newlands|10.068|1
1955|MM Patel|OUTsurance Oval|10.68675|1
1956|MM Patel|Punjab Cricket Association Stadium, Mohali|10.218|1
1957|MM Patel|Rajiv Gandhi International Stadium, Uppal|7.874249999999999|1
1958|MM Patel|Sardar Patel Stadium, Motera|9.74925|1
1959|MM Patel|Sawai Mansingh Stadium|9.618|1
1960|MM Patel|St George's Park|6.936749999999999|1
1961|MM Patel|Subrata Roy Sahara Stadium|8.81175|1
1962|MM Patel|SuperSport Park|10.068|1
1963|MM Patel|Wankhede Stadium|9.580499999999999|1
1964|MM Sharma|Barabati Stadium|9.793499999999998|1
1965|MM Sharma|Brabourne Stadium|11.668499999999998|1
1966|MM Sharma|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|8.856|1
1967|MM Sharma|Dubai International Cricket Stadium|30.144999999999996|2
1968|MM Sharma|Eden Gardens|7.37475|1
1969|MM Sharma|Feroz Shah Kotla|9.0435|1
1970|MM Sharma|Holkar Cricket Stadium|22.951249999999998|2
1971|MM Sharma|JSCA International Stadium Complex|8.6685|1
1972|MM Sharma|M Chinnaswamy Stadium|7.5435|1
1973|MM Sharma|M.Chinnaswamy Stadium|14.101499999999998|1
1974|MM Sharma|MA Chidambaram Stadium, Chepauk|8.499749999999999|1
1975|MM Sharma|Maharashtra Cricket Association Stadium|24.519999999999996|2
1976|MM Sharma|Punjab Cricket Association IS Bindra Stadium, Mohali|29.32625|2
1977|MM Sharma|Rajiv Gandhi International Stadium, Uppal|8.856|1
1978|MM Sharma|Sardar Patel Stadium, Motera|6.0435|1
1979|MM Sharma|Saurashtra Cricket Association Stadium|9.793499999999998|1
1980|MM Sharma|Sawai Mansingh Stadium|22.019999999999996|2
1981|MM Sharma|Shaheed Veer Narayan Singh International Stadium|6.0435|1
1982|MM Sharma|Sharjah Cricket Stadium|9.793499999999998|1
1983|MM Sharma|Sheikh Zayed Stadium|6.981|1
1984|MM Sharma|Subrata Roy Sahara Stadium|11.668499999999998|1
1985|MM Sharma|Wankhede Stadium|24.526249999999997|2
1986|MN Samuels|Barabati Stadium|6.476249999999999|1
1987|MN Samuels|Feroz Shah Kotla|4.601249999999999|1
1988|MN Samuels|M Chinnaswamy Stadium|6.476249999999999|1
1989|MN Samuels|MA Chidambaram Stadium, Chepauk|10.226249999999999|1
1990|MN Samuels|Punjab Cricket Association Stadium, Mohali|4.601249999999999|1
1991|MN Samuels|Rajiv Gandhi International Stadium, Uppal|6.476249999999999|1
1992|MN Samuels|Subrata Roy Sahara Stadium|6.476249999999999|1
1993|MN Samuels|Wankhede Stadium|6.476249999999999|1
1994|MP Stoinis|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|11.091|1
1995|MP Stoinis|Dubai International Cricket Stadium|11.310249999999998|1
1996|MP Stoinis|Eden Gardens|16.345|2
1997|MP Stoinis|Feroz Shah Kotla|8.379|1
1998|MP Stoinis|Holkar Cricket Stadium|14.669999999999998|2
1999|MP Stoinis|M.Chinnaswamy Stadium|9.82275|1
2000|MP Stoinis|Punjab Cricket Association IS Bindra Stadium, Mohali|13.844999999999999|2
2001|MP Stoinis|Saurashtra Cricket Association Stadium|4.5285|1
2002|MP Stoinis|Sawai Mansingh Stadium|10.5665|1
2003|MP Stoinis|Sharjah Cricket Stadium|12.753999999999998|1
2004|MP Stoinis|Sheikh Zayed Stadium|14.941499999999998|1
2005|MP Stoinis|Wankhede Stadium|12.753999999999998|1
2006|MR Marsh|Dr DY Patil Sports Academy|6.3495|1
2007|MR Marsh|Dubai International Cricket Stadium|14.815499999999998|1
2008|MR Marsh|Feroz Shah Kotla|8.224499999999999|1
2009|MR Marsh|Himachal Pradesh Cricket Association Stadium|6.3495|1
2010|MR Marsh|M Chinnaswamy Stadium|8.224499999999999|1
2011|MR Marsh|MA Chidambaram Stadium, Chepauk|10.099499999999999|1
2012|MR Marsh|Punjab Cricket Association Stadium, Mohali|10.099499999999999|1
2013|MR Marsh|Rajiv Gandhi International Stadium, Uppal|11.974499999999999|1
2014|MR Marsh|Saurashtra Cricket Association Stadium|6.3495|1
2015|MR Marsh|Subrata Roy Sahara Stadium|7.755749999999999|1
2016|MR Marsh|Wankhede Stadium|9.161999999999999|1
2017|MS Gony|Dr DY Patil Sports Academy|6.789|1
2018|MS Gony|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|4.914|1
2019|MS Gony|Eden Gardens|5.8515|1
2020|MS Gony|Feroz Shah Kotla|6.789|1
2021|MS Gony|Kingsmead|5.532749999999999|1
2022|MS Gony|M Chinnaswamy Stadium|7.7265|1
2023|MS Gony|MA Chidambaram Stadium, Chepauk|6.414|1
2024|MS Gony|Nehru Stadium|6.789|1
2025|MS Gony|New Wanderers Stadium|6.789|1
2026|MS Gony|Newlands|8.664|1
2027|MS Gony|Punjab Cricket Association Stadium, Mohali|6.789|1
2028|MS Gony|Rajiv Gandhi International Stadium, Uppal|6.789|1
2029|MS Gony|Saurashtra Cricket Association Stadium|4.914|1
2030|MS Gony|Sawai Mansingh Stadium|4.914|1
2031|MS Gony|St George's Park|6.789|1
2032|MS Gony|Subrata Roy Sahara Stadium|8.664|1
2033|MS Gony|SuperSport Park|4.914|1
2034|MS Gony|Wankhede Stadium|7.407749999999999|1
2035|Mandeep Singh|Eden Gardens|-1.575|1
2036|Mandeep Singh|Punjab Cricket Association IS Bindra Stadium, Mohali|-1.575|1
2037|Mashrafe Mortaza|New Wanderers Stadium|1.2|1
2038|Mohammad Asif|Dr DY Patil Sports Academy|7.5|1
2039|Mohammad Asif|Feroz Shah Kotla|6.2437499999999995|1
2040|Mohammad Asif|MA Chidambaram Stadium, Chepauk|7.5|1
2041|Mohammad Asif|Punjab Cricket Association Stadium, Mohali|9.375|1
2042|Mohammad Asif|Rajiv Gandhi International Stadium, Uppal|9.375|1
2043|Mohammad Asif|Wankhede Stadium|9.375|1
2044|Mohammad Hafeez|Eden Gardens|4.2|1
2045|Mohammad Hafeez|MA Chidambaram Stadium, Chepauk|3.2624999999999997|1
2046|Mohammad Hafeez|Punjab Cricket Association Stadium, Mohali|5.1375|1
2047|Mohammad Nabi|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|12.47925|1
2048|Mohammad Nabi|Feroz Shah Kotla|21.22925|1
2049|Mohammad Nabi|Green Park|5.34825|1
2050|Mohammad Nabi|M.Chinnaswamy Stadium|12.47925|1
2051|Mohammad Nabi|Punjab Cricket Association IS Bindra Stadium, Mohali|12.47925|1
2052|Mohammad Nabi|Rajiv Gandhi International Stadium, Uppal|25.17125|2
2053|Mohammad Nabi|Sheikh Zayed Stadium|12.47925|1
2054|Mohammad Nabi|Wankhede Stadium|16.85425|1
2055|Mohammed Shami|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|4.59225|1
2056|Mohammed Shami|Dubai International Cricket Stadium|23.11375|2
2057|Mohammed Shami|Eden Gardens|15.09025|1
2058|Mohammed Shami|Feroz Shah Kotla|25.2575|2
2059|Mohammed Shami|Green Park|8.34225|1
2060|Mohammed Shami|M Chinnaswamy Stadium|8.34225|1
2061|Mohammed Shami|M.Chinnaswamy Stadium|15.09025|1
2062|Mohammed Shami|MA Chidambaram Stadium, Chepauk|15.3075|2
2063|Mohammed Shami|Punjab Cricket Association IS Bindra Stadium, Mohali|22.8075|2
2064|Mohammed Shami|Punjab Cricket Association Stadium, Mohali|6.46725|1
2065|Mohammed Shami|Rajiv Gandhi International Stadium, Uppal|25.9325|2
2066|Mohammed Shami|Saurashtra Cricket Association Stadium|8.34225|1
2067|Mohammed Shami|Sawai Mansingh Stadium|19.682499999999997|2
2068|Mohammed Shami|Sharjah Cricket Stadium|29.80125|2
2069|Mohammed Shami|Sheikh Zayed Stadium|22.338749999999997|2
2070|Mohammed Shami|Wankhede Stadium|19.46525|1
2071|Mohammed Siraj|Dubai International Cricket Stadium|18.91225|1
2072|Mohammed Siraj|Eden Gardens|14.53725|1
2073|Mohammed Siraj|Feroz Shah Kotla|28.8925|2
2074|Mohammed Siraj|Green Park|13.73025|1
2075|Mohammed Siraj|Holkar Cricket Stadium|18.91225|1
2076|Mohammed Siraj|M.Chinnaswamy Stadium|19.43725|1
2077|Mohammed Siraj|MA Chidambaram Stadium, Chepauk|18.91225|1
2078|Mohammed Siraj|Maharashtra Cricket Association Stadium|20.767500000000002|2
2079|Mohammed Siraj|Punjab Cricket Association IS Bindra Stadium, Mohali|18.91225|1
2080|Mohammed Siraj|Rajiv Gandhi International Stadium, Uppal|32.01125|2
2081|Mohammed Siraj|Sawai Mansingh Stadium|18.91225|1
2082|Mohammed Siraj|Sharjah Cricket Stadium|15.981|1
2083|Mohammed Siraj|Sheikh Zayed Stadium|23.287249999999997|1
2084|Mohammed Siraj|Wankhede Stadium|16.72475|1
2085|Mujeeb Ur Rahman|Dubai International Cricket Stadium|13.943999999999997|1
2086|Mujeeb Ur Rahman|Eden Gardens|22.694|1
2087|Mujeeb Ur Rahman|Feroz Shah Kotla|22.694|1
2088|Mujeeb Ur Rahman|Holkar Cricket Stadium|21.250249999999998|1
2089|Mujeeb Ur Rahman|M.Chinnaswamy Stadium|18.319|1
2090|Mujeeb Ur Rahman|Punjab Cricket Association IS Bindra Stadium, Mohali|16.1315|1
2091|Mujeeb Ur Rahman|Rajiv Gandhi International Stadium, Uppal|16.1315|1
2092|Mujeeb Ur Rahman|Sawai Mansingh Stadium|22.694|1
2093|Mujeeb Ur Rahman|Sheikh Zayed Stadium|13.943999999999997|1
2094|Mustafizur Rahman|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|8.549999999999999|1
2095|Mustafizur Rahman|Eden Gardens|7.6125|1
2096|Mustafizur Rahman|Feroz Shah Kotla|23.5|2
2097|Mustafizur Rahman|M Chinnaswamy Stadium|9.487499999999999|1
2098|Mustafizur Rahman|Punjab Cricket Association IS Bindra Stadium, Mohali|7.6125|1
2099|Mustafizur Rahman|Rajiv Gandhi International Stadium, Uppal|34.3875|2
2100|Mustafizur Rahman|Saurashtra Cricket Association Stadium|7.6125|1
2101|Mustafizur Rahman|Sawai Mansingh Stadium|17.7625|1
2102|Mustafizur Rahman|Shaheed Veer Narayan Singh International Stadium|7.6125|1
2103|Mustafizur Rahman|Wankhede Stadium|23.5|2
2104|N Rana|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|3.2805|1
2105|N Rana|Dubai International Cricket Stadium|7.6545|1
2106|N Rana|Eden Gardens|10.2795|1
2107|N Rana|Feroz Shah Kotla|7.6545|1
2108|N Rana|M.Chinnaswamy Stadium|12.0295|1
2109|N Rana|Punjab Cricket Association IS Bindra Stadium, Mohali|12.0295|1
2110|N Rana|Rajiv Gandhi International Stadium, Uppal|7.6545|1
2111|N Rana|Sawai Mansingh Stadium|16.404500000000002|1
2112|N Rana|Sheikh Zayed Stadium|7.6545|1
2113|N Rana|Wankhede Stadium|7.6545|1
2114|NA Saini|Dubai International Cricket Stadium|12.984999999999998|1
2115|NA Saini|Eden Gardens|15.478749999999996|1
2116|NA Saini|Feroz Shah Kotla|15.478749999999996|1
2117|NA Saini|M.Chinnaswamy Stadium|17.359999999999996|1
2118|NA Saini|MA Chidambaram Stadium, Chepauk|11.103749999999998|1
2119|NA Saini|Punjab Cricket Association IS Bindra Stadium, Mohali|11.103749999999998|1
2120|NA Saini|Sawai Mansingh Stadium|11.103749999999998|1
2121|NA Saini|Sharjah Cricket Stadium|14.034999999999997|1
2122|NA Saini|Sheikh Zayed Stadium|14.034999999999997|1
2123|NA Saini|Wankhede Stadium|11.103749999999998|1
2124|NB Singh|M Chinnaswamy Stadium|4.1625|1
2125|NB Singh|Saurashtra Cricket Association Stadium|6.0375|1
2126|ND Doshi|Dr DY Patil Sports Academy|4.6875|1
2127|ND Doshi|Holkar Cricket Stadium|4.6875|1
2128|ND Doshi|MA Chidambaram Stadium, Chepauk|2.8125|1
2129|ND Doshi|Sawai Mansingh Stadium|2.8125|1
2130|NJ Rimmington|Dr DY Patil Sports Academy|0.44999999999999996|1
2131|NL McCullum|MA Chidambaram Stadium, Chepauk|0.44999999999999996|1
2132|NL McCullum|Sawai Mansingh Stadium|0.44999999999999996|1
2133|NLTC Perera|Brabourne Stadium|4.84425|1
2134|NLTC Perera|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|5.463|1
2135|NLTC Perera|Eden Gardens|4.84425|1
2136|NLTC Perera|Feroz Shah Kotla|5.78175|1
2137|NLTC Perera|M Chinnaswamy Stadium|5.78175|1
2138|NLTC Perera|Maharashtra Cricket Association Stadium|8.21925|1
2139|NLTC Perera|Nehru Stadium|8.59425|1
2140|NLTC Perera|Punjab Cricket Association IS Bindra Stadium, Mohali|4.84425|1
2141|NLTC Perera|Punjab Cricket Association Stadium, Mohali|6.71925|1
2142|NLTC Perera|Rajiv Gandhi International Stadium, Uppal|7.7692499999999995|1
2143|NLTC Perera|Sawai Mansingh Stadium|6.71925|1
2144|NLTC Perera|Subrata Roy Sahara Stadium|7.65675|1
2145|NLTC Perera|Wankhede Stadium|4.84425|1
2146|NM Coulter-Nile|Brabourne Stadium|10.154999999999998|1
2147|NM Coulter-Nile|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|10.154999999999998|1
2148|NM Coulter-Nile|Dubai International Cricket Stadium|35.724999999999994|2
2149|NM Coulter-Nile|Eden Gardens|11.279999999999998|1
2150|NM Coulter-Nile|Feroz Shah Kotla|11.092499999999998|1
2151|NM Coulter-Nile|Himachal Pradesh Cricket Association Stadium|10.154999999999998|1
2152|NM Coulter-Nile|M Chinnaswamy Stadium|12.029999999999998|1
2153|NM Coulter-Nile|MA Chidambaram Stadium, Chepauk|13.904999999999998|1
2154|NM Coulter-Nile|Maharashtra Cricket Association Stadium|8.28|1
2155|NM Coulter-Nile|Rajiv Gandhi International Stadium, Uppal|11.092499999999998|1
2156|NM Coulter-Nile|Shaheed Veer Narayan Singh International Stadium|12.029999999999998|1
2157|NM Coulter-Nile|Sharjah Cricket Stadium|21.507499999999997|1
2158|NM Coulter-Nile|Sheikh Zayed Stadium|23.694999999999993|1
2159|NM Coulter-Nile|Wankhede Stadium|12.029999999999998|1
2160|O Thomas|Eden Gardens|20.78125|1
2161|O Thomas|Feroz Shah Kotla|16.40625|1
2162|O Thomas|M.Chinnaswamy Stadium|25.15625|1
2163|O Thomas|Sawai Mansingh Stadium|25.15625|1
2164|P Amarnath|Feroz Shah Kotla|5.88825|1
2165|P Amarnath|M Chinnaswamy Stadium|9.63825|1
2166|P Amarnath|MA Chidambaram Stadium, Chepauk|8.382|1
2167|P Amarnath|Punjab Cricket Association Stadium, Mohali|7.76325|1
2168|P Awana|Barabati Stadium|8.741999999999999|1
2169|P Awana|Eden Gardens|8.741999999999999|1
2170|P Awana|Feroz Shah Kotla|10.616999999999999|1
2171|P Awana|Himachal Pradesh Cricket Association Stadium|8.741999999999999|1
2172|P Awana|M Chinnaswamy Stadium|8.741999999999999|1
2173|P Awana|MA Chidambaram Stadium, Chepauk|8.741999999999999|1
2174|P Awana|Punjab Cricket Association Stadium, Mohali|9.36075|1
2175|P Awana|Rajiv Gandhi International Stadium, Uppal|10.616999999999999|1
2176|P Awana|Sawai Mansingh Stadium|8.741999999999999|1
2177|P Awana|Sharjah Cricket Stadium|10.616999999999999|1
2178|P Awana|Sheikh Zayed Stadium|8.741999999999999|1
2179|P Awana|Subrata Roy Sahara Stadium|10.616999999999999|1
2180|P Awana|Wankhede Stadium|9.36075|1
2181|P Kumar|Brabourne Stadium|5.19075|1
2182|P Kumar|Dr DY Patil Sports Academy|6.447|1
2183|P Kumar|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|5.828250000000001|1
2184|P Kumar|Eden Gardens|5.734500000000001|1
2185|P Kumar|Feroz Shah Kotla|5.828250000000001|1
2186|P Kumar|Green Park|7.06575|1
2187|P Kumar|Himachal Pradesh Cricket Association Stadium|5.903250000000001|1
2188|P Kumar|Kingsmead|7.3845|1
2189|P Kumar|M Chinnaswamy Stadium|6.559500000000001|1
2190|P Kumar|MA Chidambaram Stadium, Chepauk|5.5095|1
2191|P Kumar|Maharashtra Cricket Association Stadium|6.447|1
2192|P Kumar|New Wanderers Stadium|6.447|1
2193|P Kumar|Newlands|7.3845|1
2194|P Kumar|Punjab Cricket Association IS Bindra Stadium, Mohali|4.572|1
2195|P Kumar|Punjab Cricket Association Stadium, Mohali|6.072|1
2196|P Kumar|Rajiv Gandhi International Stadium, Uppal|6.222|1
2197|P Kumar|Saurashtra Cricket Association Stadium|5.37825|1
2198|P Kumar|Sawai Mansingh Stadium|5.828250000000001|1
2199|P Kumar|Shaheed Veer Narayan Singh International Stadium|4.572|1
2200|P Kumar|St George's Park|8.322000000000001|1
2201|P Kumar|Subrata Roy Sahara Stadium|7.3845|1
2202|P Kumar|SuperSport Park|5.5095|1
2203|P Kumar|Wankhede Stadium|6.672000000000001|1
2204|P Negi|Eden Gardens|6.471749999999999|1
2205|P Negi|Feroz Shah Kotla|6.153|1
