Player|venue|career_dream11_score
NM Coulter-Nile|M Chinnaswamy Stadium|16.51
NM Coulter-Nile|MA Chidambaram Stadium, Chepauk|18.31
NM Coulter-Nile|Maharashtra Cricket Association Stadium|11.05
NM Coulter-Nile|Rajiv Gandhi International Stadium, Uppal|13.86
NM Coulter-Nile|Shaheed Veer Narayan Singh International Stadium|14.8
NM Coulter-Nile|Sharjah Cricket Stadium|27.38
NM Coulter-Nile|Sheikh Zayed Stadium|26.46
NM Coulter-Nile|Wankhede Stadium|16.28
O Thomas|Eden Gardens|22.78
O Thomas|Feroz Shah Kotla|18.41
O Thomas|M.Chinnaswamy Stadium|27.16
O Thomas|Sawai Mansingh Stadium|27.16
P Amarnath|Feroz Shah Kotla|8.56
P Amarnath|M Chinnaswamy Stadium|12.31
P Amarnath|MA Chidambaram Stadium, Chepauk|11.05
P Amarnath|Punjab Cricket Association Stadium, Mohali|10.43
P Awana|Barabati Stadium|9.83
P Awana|Eden Gardens|9.83
P Awana|Feroz Shah Kotla|11.36
P Awana|Himachal Pradesh Cricket Association Stadium|9.83
P Awana|M Chinnaswamy Stadium|9.83
P Awana|MA Chidambaram Stadium, Chepauk|9.83
P Awana|Punjab Cricket Association Stadium, Mohali|9.84
P Awana|Rajiv Gandhi International Stadium, Uppal|11.71
P Awana|Sawai Mansingh Stadium|9.19
P Awana|Sharjah Cricket Stadium|11.71
P Awana|Sheikh Zayed Stadium|9.83
P Awana|Subrata Roy Sahara Stadium|11.71
P Awana|Wankhede Stadium|9.81
P Kumar|Brabourne Stadium|7.85
P Kumar|Dr DY Patil Sports Academy|9.18
P Kumar|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|8.49
P Kumar|Eden Gardens|8.63
P Kumar|Feroz Shah Kotla|8.94
P Kumar|Green Park|9.73
P Kumar|Himachal Pradesh Cricket Association Stadium|8.56
P Kumar|Kingsmead|10.82
P Kumar|M Chinnaswamy Stadium|9.78
P Kumar|MA Chidambaram Stadium, Chepauk|9.11
P Kumar|Maharashtra Cricket Association Stadium|7.53
P Kumar|New Wanderers Stadium|9.18
P Kumar|Newlands|10.79
P Kumar|Punjab Cricket Association IS Bindra Stadium, Mohali|5.65
P Kumar|Punjab Cricket Association Stadium, Mohali|8.89
P Kumar|Rajiv Gandhi International Stadium, Uppal|9.18
P Kumar|Saurashtra Cricket Association Stadium|8.56
P Kumar|Sawai Mansingh Stadium|9.04
P Kumar|Shaheed Veer Narayan Singh International Stadium|5.65
P Kumar|St George's Park|10.91
P Kumar|Subrata Roy Sahara Stadium|10.04
P Kumar|SuperSport Park|8.62
P Kumar|Wankhede Stadium|9.74
P Negi|Eden Gardens|12.87
P Negi|Feroz Shah Kotla|12.46
P Negi|Holkar Cricket Stadium|7.4
P Negi|JSCA International Stadium Complex|12.02
P Negi|M Chinnaswamy Stadium|12.96
P Negi|M.Chinnaswamy Stadium|35.84
P Negi|MA Chidambaram Stadium, Chepauk|12.23
P Negi|Maharashtra Cricket Association Stadium|12.29
P Negi|Punjab Cricket Association Stadium, Mohali|11.15
P Negi|Rajiv Gandhi International Stadium, Uppal|13.19
P Negi|Saurashtra Cricket Association Stadium|9.27
P Negi|Sawai Mansingh Stadium|11.15
P Negi|Shaheed Veer Narayan Singh International Stadium|13.41
P Negi|Sheikh Zayed Stadium|7.4
P Negi|Subrata Roy Sahara Stadium|12.17
P Negi|Wankhede Stadium|31.66
P Parameswaran|Feroz Shah Kotla|12.01
P Parameswaran|Holkar Cricket Stadium|9.2
P Parameswaran|M Chinnaswamy Stadium|7.78
P Parameswaran|Nehru Stadium|7.33
P Parameswaran|Rajiv Gandhi International Stadium, Uppal|8.64
P Prasanth|Holkar Cricket Stadium|-0.68
P Ray Barman|Rajiv Gandhi International Stadium, Uppal|11.2
P Sahu|Feroz Shah Kotla|7.76
P Sahu|Punjab Cricket Association IS Bindra Stadium, Mohali|7.89
P Suyal|Sardar Patel Stadium, Motera|3.85
P Suyal|Wankhede Stadium|4.79
PC Valthaty|Eden Gardens|12.27
PC Valthaty|Feroz Shah Kotla|12.8
PC Valthaty|Himachal Pradesh Cricket Association Stadium|15.29
PC Valthaty|Punjab Cricket Association Stadium, Mohali|14.07
PC Valthaty|Rajiv Gandhi International Stadium, Uppal|22.28
PC Valthaty|Sawai Mansingh Stadium|12.72
PC Valthaty|Wankhede Stadium|14.22
PC Valthaty|Dr DY Patil Sports Academy|8.08
PC Valthaty|Holkar Cricket Stadium|8.9
PC Valthaty|M Chinnaswamy Stadium|9.2
PC Valthaty|Newlands|8.0
PC Valthaty|Subrata Roy Sahara Stadium|7.7
PC Valthaty|SuperSport Park|7.7
PD Collingwood|Brabourne Stadium|19.08
PD Collingwood|Eden Gardens|19.08
PD Collingwood|Feroz Shah Kotla|24.26
PJ Cummins|Dubai International Cricket Stadium|33.77
PJ Cummins|Eden Gardens|9.02
PJ Cummins|Feroz Shah Kotla|13.44
PJ Cummins|Green Park|13.34
PJ Cummins|M Chinnaswamy Stadium|7.14
PJ Cummins|M.Chinnaswamy Stadium|11.99
PJ Cummins|MA Chidambaram Stadium, Chepauk|9.66
PJ Cummins|Maharashtra Cricket Association Stadium|10.89
PJ Cummins|Rajiv Gandhi International Stadium, Uppal|7.14
PJ Cummins|Sharjah Cricket Stadium|21.63
PJ Cummins|Sheikh Zayed Stadium|27.85
PJ Cummins|Wankhede Stadium|13.71
PJ Sangwan|Brabourne Stadium|10.35
PJ Sangwan|Buffalo Park|8.43
PJ Sangwan|Dr DY Patil Sports Academy|8.18
PJ Sangwan|Eden Gardens|8.03
PJ Sangwan|Feroz Shah Kotla|8.76
PJ Sangwan|Green Park|8.03
PJ Sangwan|Kingsmead|11.56
PJ Sangwan|M Chinnaswamy Stadium|7.07
PJ Sangwan|MA Chidambaram Stadium, Chepauk|8.43
PJ Sangwan|Maharashtra Cricket Association Stadium|9.98
PJ Sangwan|New Wanderers Stadium|8.03
PJ Sangwan|Newlands|6.56
PJ Sangwan|OUTsurance Oval|8.4
PJ Sangwan|Punjab Cricket Association IS Bindra Stadium, Mohali|7.49
PJ Sangwan|Punjab Cricket Association Stadium, Mohali|8.43
PJ Sangwan|Rajiv Gandhi International Stadium, Uppal|17.56
PJ Sangwan|Sardar Patel Stadium, Motera|8.43
PJ Sangwan|Sawai Mansingh Stadium|6.56
PJ Sangwan|St George's Park|8.43
PJ Sangwan|SuperSport Park|8.54
PM Sarvesh Kumar|Feroz Shah Kotla|2.44
PM Sarvesh Kumar|Rajiv Gandhi International Stadium, Uppal|4.69
PP Chawla|Barabati Stadium|12.86
PP Chawla|Brabourne Stadium|11.45
PP Chawla|De Beers Diamond Oval|12.17
PP Chawla|Dr DY Patil Sports Academy|10.82
PP Chawla|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|7.84
PP Chawla|Dubai International Cricket Stadium|27.93
PP Chawla|Eden Gardens|36.68
PP Chawla|Feroz Shah Kotla|34.56
PP Chawla|Himachal Pradesh Cricket Association Stadium|12.69
PP Chawla|Holkar Cricket Stadium|22.46
PP Chawla|JSCA International Stadium Complex|9.77
PP Chawla|Kingsmead|11.49
PP Chawla|M Chinnaswamy Stadium|12.73
PP Chawla|M.Chinnaswamy Stadium|15.12
PP Chawla|MA Chidambaram Stadium, Chepauk|35.64
PP Chawla|Maharashtra Cricket Association Stadium|10.76
PP Chawla|New Wanderers Stadium|9.77
PP Chawla|Newlands|12.02
PP Chawla|OUTsurance Oval|7.84
PP Chawla|Punjab Cricket Association IS Bindra Stadium, Mohali|22.46
PP Chawla|Punjab Cricket Association Stadium, Mohali|12.02
PP Chawla|Rajiv Gandhi International Stadium, Uppal|31.69
PP Chawla|Saurashtra Cricket Association Stadium|9.71
PP Chawla|Sawai Mansingh Stadium|26.52
PP Chawla|Sharjah Cricket Stadium|19.5
PP Chawla|Sheikh Zayed Stadium|27.12
PP Chawla|St George's Park|11.59
PP Chawla|Subrata Roy Sahara Stadium|11.83
PP Chawla|SuperSport Park|9.71
PP Chawla|Wankhede Stadium|25.29
PP Chawla|Green Park|5.05
PP Ojha|Barabati Stadium|8.86
PP Ojha|Brabourne Stadium|10.21
PP Ojha|Buffalo Park|6.35
PP Ojha|De Beers Diamond Oval|10.73
PP Ojha|Dr DY Patil Sports Academy|8.26
PP Ojha|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|6.98
PP Ojha|Dubai International Cricket Stadium|7.04
PP Ojha|Eden Gardens|8.3
PP Ojha|Feroz Shah Kotla|8.69
PP Ojha|Himachal Pradesh Cricket Association Stadium|7.92
PP Ojha|Kingsmead|10.72
PP Ojha|M Chinnaswamy Stadium|10.73
PP Ojha|MA Chidambaram Stadium, Chepauk|11.48
PP Ojha|New Wanderers Stadium|8.86
PP Ojha|Newlands|9.8
PP Ojha|Punjab Cricket Association Stadium, Mohali|8.86
PP Ojha|Rajiv Gandhi International Stadium, Uppal|7.27
PP Ojha|Sardar Patel Stadium, Motera|9.8
PP Ojha|Sawai Mansingh Stadium|8.3
PP Ojha|Sharjah Cricket Stadium|6.98
PP Ojha|Sheikh Zayed Stadium|6.98
PP Ojha|St George's Park|8.86
PP Ojha|Subrata Roy Sahara Stadium|7.36
PP Ojha|SuperSport Park|8.3
PP Ojha|Vidarbha Cricket Association Stadium, Jamtha|9.48
PP Ojha|Wankhede Stadium|8.59
PV Tambe|Brabourne Stadium|7.79
PV Tambe|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|9.67
PV Tambe|Dubai International Cricket Stadium|7.98
PV Tambe|Eden Gardens|5.92
PV Tambe|Feroz Shah Kotla|7.79
PV Tambe|JSCA International Stadium Complex|5.92
PV Tambe|M Chinnaswamy Stadium|7.1
PV Tambe|MA Chidambaram Stadium, Chepauk|6.03
PV Tambe|Maharashtra Cricket Association Stadium|5.92
PV Tambe|Punjab Cricket Association Stadium, Mohali|5.92
PV Tambe|Rajiv Gandhi International Stadium, Uppal|6.18
PV Tambe|Sardar Patel Stadium, Motera|8.28
PV Tambe|Saurashtra Cricket Association Stadium|7.79
PV Tambe|Sawai Mansingh Stadium|5.92
PV Tambe|Sharjah Cricket Stadium|5.92
PV Tambe|Sheikh Zayed Stadium|9.67
PV Tambe|Wankhede Stadium|7.79
Pankaj Singh|Feroz Shah Kotla|8.49
Pankaj Singh|Kingsmead|4.29
Pankaj Singh|M Chinnaswamy Stadium|6.24
Pankaj Singh|MA Chidambaram Stadium, Chepauk|4.74
Pankaj Singh|Punjab Cricket Association Stadium, Mohali|4.36
Pankaj Singh|Rajiv Gandhi International Stadium, Uppal|4.59
Pankaj Singh|Sawai Mansingh Stadium|5.9
Pankaj Singh|St George's Park|8.11
Parvez Rasool|Eden Gardens|4.6
Parvez Rasool|JSCA International Stadium Complex|4.6
Parvez Rasool|M Chinnaswamy Stadium|5.21
Parvez Rasool|MA Chidambaram Stadium, Chepauk|4.88
Parvez Rasool|Rajiv Gandhi International Stadium, Uppal|6.42
Parvez Rasool|Shaheed Veer Narayan Singh International Stadium|6.47
Parvez Rasool|Subrata Roy Sahara Stadium|5.86
R Ashwin|Barabati Stadium|10.48
R Ashwin|Brabourne Stadium|9.72
R Ashwin|Dr DY Patil Sports Academy|11.36
R Ashwin|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|13.12
R Ashwin|Dubai International Cricket Stadium|37.15
R Ashwin|Eden Gardens|27.46
R Ashwin|Feroz Shah Kotla|34.12
R Ashwin|Himachal Pradesh Cricket Association Stadium|10.59
R Ashwin|Holkar Cricket Stadium|24.72
R Ashwin|JSCA International Stadium Complex|12.09
R Ashwin|Kingsmead|14.01
R Ashwin|M Chinnaswamy Stadium|10.99
R Ashwin|M.Chinnaswamy Stadium|29.67
R Ashwin|MA Chidambaram Stadium, Chepauk|39.0
R Ashwin|Maharashtra Cricket Association Stadium|36.44
R Ashwin|Nehru Stadium|11.59
R Ashwin|Punjab Cricket Association IS Bindra Stadium, Mohali|33.16
R Ashwin|Punjab Cricket Association Stadium, Mohali|9.1
R Ashwin|Rajiv Gandhi International Stadium, Uppal|32.0
R Ashwin|Sardar Patel Stadium, Motera|7.84
R Ashwin|Saurashtra Cricket Association Stadium|7.84
R Ashwin|Sawai Mansingh Stadium|32.27
R Ashwin|Shaheed Veer Narayan Singh International Stadium|7.84
R Ashwin|Sharjah Cricket Stadium|28.34
R Ashwin|Sheikh Zayed Stadium|35.68
R Ashwin|Subrata Roy Sahara Stadium|9.72
R Ashwin|Vidarbha Cricket Association Stadium, Jamtha|13.78
R Ashwin|Wankhede Stadium|31.74
R Bhatia|Barabati Stadium|10.63
R Bhatia|Brabourne Stadium|6.88
R Bhatia|Buffalo Park|14.38
R Bhatia|Dr DY Patil Sports Academy|10.02
R Bhatia|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|6.88
R Bhatia|Dubai International Cricket Stadium|16.06
R Bhatia|Eden Gardens|11.2
R Bhatia|Feroz Shah Kotla|10.79
R Bhatia|Holkar Cricket Stadium|6.88
R Bhatia|JSCA International Stadium Complex|9.83
R Bhatia|Kingsmead|12.46
R Bhatia|M Chinnaswamy Stadium|9.36
R Bhatia|MA Chidambaram Stadium, Chepauk|9.65
R Bhatia|Maharashtra Cricket Association Stadium|11.04
R Bhatia|Nehru Stadium|10.66
R Bhatia|New Wanderers Stadium|10.74
R Bhatia|OUTsurance Oval|8.71
R Bhatia|Punjab Cricket Association Stadium, Mohali|11.82
R Bhatia|Rajiv Gandhi International Stadium, Uppal|10.01
R Bhatia|Sardar Patel Stadium, Motera|11.45
R Bhatia|Saurashtra Cricket Association Stadium|8.71
R Bhatia|Sawai Mansingh Stadium|11.34
R Bhatia|Shaheed Veer Narayan Singh International Stadium|10.66
R Bhatia|Sharjah Cricket Stadium|6.88
R Bhatia|Sheikh Zayed Stadium|11.5
R Bhatia|Subrata Roy Sahara Stadium|11.56
R Bhatia|SuperSport Park|10.81
R Bhatia|Wankhede Stadium|10.42
R Dhawan|Barabati Stadium|9.87
R Dhawan|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|11.34
R Dhawan|Dubai International Cricket Stadium|14.11
R Dhawan|Eden Gardens|9.78
R Dhawan|Feroz Shah Kotla|9.24
R Dhawan|Himachal Pradesh Cricket Association Stadium|11.56
R Dhawan|Maharashtra Cricket Association Stadium|6.31
R Dhawan|Punjab Cricket Association Stadium, Mohali|11.34
R Dhawan|Rajiv Gandhi International Stadium, Uppal|11.67
R Dhawan|Sawai Mansingh Stadium|8.64
R Dhawan|Sharjah Cricket Stadium|8.18
R Dhawan|Sheikh Zayed Stadium|11.94
R Dhawan|Wankhede Stadium|10.34
R McLaren|Brabourne Stadium|10.62
R McLaren|Dr DY Patil Sports Academy|12.0
R McLaren|Eden Gardens|8.67
R McLaren|Himachal Pradesh Cricket Association Stadium|9.34
R McLaren|M Chinnaswamy Stadium|12.29
R McLaren|MA Chidambaram Stadium, Chepauk|8.74
R McLaren|Punjab Cricket Association Stadium, Mohali|9.36
R McLaren|Rajiv Gandhi International Stadium, Uppal|9.94
R McLaren|Wankhede Stadium|14.37
R Ninan|MA Chidambaram Stadium, Chepauk|15.51
R Ninan|Rajiv Gandhi International Stadium, Uppal|13.86
R Parag|Dubai International Cricket Stadium|33.28
R Parag|Eden Gardens|39.26
R Parag|Feroz Shah Kotla|39.79
R Parag|M.Chinnaswamy Stadium|14.41
R Parag|Sawai Mansingh Stadium|35.81
R Parag|Sheikh Zayed Stadium|33.84
R Parag|Sharjah Cricket Stadium|27.82
R Rampaul|Feroz Shah Kotla|10.91
R Rampaul|JSCA International Stadium Complex|14.52
R Rampaul|M Chinnaswamy Stadium|15.35
R Rampaul|MA Chidambaram Stadium, Chepauk|18.27
R Rampaul|Punjab Cricket Association Stadium, Mohali|12.79
R Rampaul|Sawai Mansingh Stadium|16.62
R Rampaul|Sheikh Zayed Stadium|15.5
R Rampaul|Wankhede Stadium|16.25
R Sathish|Brabourne Stadium|9.78
R Sathish|Eden Gardens|7.64
R Sathish|Feroz Shah Kotla|5.46
R Sathish|MA Chidambaram Stadium, Chepauk|6.42
R Sathish|Maharashtra Cricket Association Stadium|9.44
R Sathish|Punjab Cricket Association Stadium, Mohali|6.19
R Sathish|Rajiv Gandhi International Stadium, Uppal|2.18
R Sathish|Sawai Mansingh Stadium|5.41
R Sathish|Wankhede Stadium|4.94
R Sathish|Dr DY Patil Sports Academy|4.63
R Sathish|Himachal Pradesh Cricket Association Stadium|6.05
R Sathish|M Chinnaswamy Stadium|5.3
R Sharma|Barabati Stadium|11.47
R Sharma|Brabourne Stadium|10.02
R Sharma|Dr DY Patil Sports Academy|9.89
R Sharma|Feroz Shah Kotla|9.29
R Sharma|Himachal Pradesh Cricket Association Stadium|9.6
R Sharma|M Chinnaswamy Stadium|9.6
R Sharma|MA Chidambaram Stadium, Chepauk|9.1
R Sharma|Punjab Cricket Association Stadium, Mohali|9.8
R Sharma|Rajiv Gandhi International Stadium, Uppal|9.64
R Sharma|Sardar Patel Stadium, Motera|8.52
R Sharma|Sawai Mansingh Stadium|9.64
R Sharma|Shaheed Veer Narayan Singh International Stadium|9.6
R Sharma|Sharjah Cricket Stadium|9.6
R Sharma|Subrata Roy Sahara Stadium|10.22
R Sharma|Wankhede Stadium|9.89
R Shukla|Feroz Shah Kotla|9.84
R Shukla|M Chinnaswamy Stadium|9.87
R Shukla|MA Chidambaram Stadium, Chepauk|7.34
R Shukla|Sardar Patel Stadium, Motera|10.77
R Shukla|Sawai Mansingh Stadium|11.09
R Tewatia|Dubai International Cricket Stadium|26.82
R Tewatia|Eden Gardens|32.84
R Tewatia|Feroz Shah Kotla|22.97
R Tewatia|M Chinnaswamy Stadium|9.85
R Tewatia|M.Chinnaswamy Stadium|20.76
R Tewatia|Maharashtra Cricket Association Stadium|27.2
R Tewatia|Punjab Cricket Association IS Bindra Stadium, Mohali|37.2
R Tewatia|Punjab Cricket Association Stadium, Mohali|15.38
R Tewatia|Sardar Patel Stadium, Motera|9.85
R Tewatia|Sawai Mansingh Stadium|13.81
R Tewatia|Sharjah Cricket Stadium|32.74
R Tewatia|Sheikh Zayed Stadium|22.95
R Tewatia|Wankhede Stadium|33.93
R Vinay Kumar|Brabourne Stadium|14.44
R Vinay Kumar|Dr DY Patil Sports Academy|11.8
R Vinay Kumar|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|12.56
R Vinay Kumar|Dubai International Cricket Stadium|10.69
R Vinay Kumar|Eden Gardens|40.67
R Vinay Kumar|Feroz Shah Kotla|12.31
R Vinay Kumar|Green Park|14.35
R Vinay Kumar|Holkar Cricket Stadium|10.6
R Vinay Kumar|JSCA International Stadium Complex|13.45
R Vinay Kumar|Kingsmead|12.66
R Vinay Kumar|M Chinnaswamy Stadium|13.73
R Vinay Kumar|MA Chidambaram Stadium, Chepauk|25.66
R Vinay Kumar|Nehru Stadium|14.99
R Vinay Kumar|New Wanderers Stadium|13.62
R Vinay Kumar|Newlands|11.12
R Vinay Kumar|Punjab Cricket Association Stadium, Mohali|12.47
R Vinay Kumar|Rajiv Gandhi International Stadium, Uppal|14.8
R Vinay Kumar|Sardar Patel Stadium, Motera|11.62
R Vinay Kumar|Sawai Mansingh Stadium|13.41
R Vinay Kumar|Sharjah Cricket Stadium|14.57
R Vinay Kumar|Sheikh Zayed Stadium|13.34
R Vinay Kumar|St George's Park|11.59
R Vinay Kumar|Subrata Roy Sahara Stadium|14.44
R Vinay Kumar|SuperSport Park|13.3
R Vinay Kumar|Vidarbha Cricket Association Stadium, Jamtha|12.7
R Vinay Kumar|Wankhede Stadium|12.96
RA Jadeja|Barabati Stadium|13.04
RA Jadeja|Brabourne Stadium|11.57
RA Jadeja|De Beers Diamond Oval|15.37
RA Jadeja|Dr DY Patil Sports Academy|16.69
RA Jadeja|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|43.67
RA Jadeja|Dubai International Cricket Stadium|43.86
RA Jadeja|Eden Gardens|39.73
RA Jadeja|Feroz Shah Kotla|43.37
RA Jadeja|Green Park|12.99
RA Jadeja|Holkar Cricket Stadium|13.04
RA Jadeja|JSCA International Stadium Complex|16.09
RA Jadeja|Kingsmead|13.99
RA Jadeja|M Chinnaswamy Stadium|14.6
RA Jadeja|M.Chinnaswamy Stadium|28.44
RA Jadeja|MA Chidambaram Stadium, Chepauk|39.11
RA Jadeja|Maharashtra Cricket Association Stadium|37.46
RA Jadeja|Nehru Stadium|14.03
RA Jadeja|Newlands|13.52
RA Jadeja|OUTsurance Oval|13.57
RA Jadeja|Punjab Cricket Association IS Bindra Stadium, Mohali|41.29
RA Jadeja|Punjab Cricket Association Stadium, Mohali|9.7
RA Jadeja|Rajiv Gandhi International Stadium, Uppal|34.28
RA Jadeja|Sardar Patel Stadium, Motera|9.7
RA Jadeja|Saurashtra Cricket Association Stadium|14.51
RA Jadeja|Sawai Mansingh Stadium|41.81
RA Jadeja|Shaheed Veer Narayan Singh International Stadium|11.99
RA Jadeja|Sharjah Cricket Stadium|33.99
RA Jadeja|Sheikh Zayed Stadium|41.78
RA Jadeja|St George's Park|14.54
RA Jadeja|Subrata Roy Sahara Stadium|16.94
RA Jadeja|SuperSport Park|15.93
RA Jadeja|Wankhede Stadium|38.04
RA Jadeja|Himachal Pradesh Cricket Association Stadium|8.38
RA Shaikh|SuperSport Park|-0.68
RA Tripathi|Maharashtra Cricket Association Stadium|28.65
RA Tripathi|Dubai International Cricket Stadium|23.02
RA Tripathi|Eden Gardens|37.31
RA Tripathi|Feroz Shah Kotla|28.32
RA Tripathi|Holkar Cricket Stadium|21.27
RA Tripathi|M Chinnaswamy Stadium|12.5
RA Tripathi|M.Chinnaswamy Stadium|21.79
RA Tripathi|MA Chidambaram Stadium, Chepauk|26.17
RA Tripathi|Punjab Cricket Association IS Bindra Stadium, Mohali|28.09
RA Tripathi|Rajiv Gandhi International Stadium, Uppal|29.35
RA Tripathi|Saurashtra Cricket Association Stadium|12.65
RA Tripathi|Sawai Mansingh Stadium|22.73
RA Tripathi|Sharjah Cricket Stadium|22.79
RA Tripathi|Sheikh Zayed Stadium|23.11
RA Tripathi|Wankhede Stadium|28.09
RD Chahar|Dubai International Cricket Stadium|20.8
RD Chahar|Eden Gardens|22.55
RD Chahar|Feroz Shah Kotla|29.55
RD Chahar|Holkar Cricket Stadium|10.2
RD Chahar|MA Chidambaram Stadium, Chepauk|20.8
RD Chahar|Rajiv Gandhi International Stadium, Uppal|25.44
RD Chahar|Saurashtra Cricket Association Stadium|11.1
RD Chahar|Sawai Mansingh Stadium|29.55
RD Chahar|Sharjah Cricket Stadium|19.36
RD Chahar|Sheikh Zayed Stadium|23.82
RD Chahar|Wankhede Stadium|18.92
RE van der Merwe|Eden Gardens|17.3
RE van der Merwe|Feroz Shah Kotla|15.24
RE van der Merwe|Kingsmead|16.21
RE van der Merwe|MA Chidambaram Stadium, Chepauk|14.53
RE van der Merwe|Nehru Stadium|18.32
RE van der Merwe|New Wanderers Stadium|15.22
RE van der Merwe|Sawai Mansingh Stadium|14.57
RE van der Merwe|St George's Park|14.64
RE van der Merwe|SuperSport Park|14.9
RG More|Eden Gardens|8.61
RG More|Rajiv Gandhi International Stadium, Uppal|6.14
RG Sharma|Barabati Stadium|18.41
RG Sharma|Brabourne Stadium|16.21
RG Sharma|Buffalo Park|16.62
RG Sharma|De Beers Diamond Oval|21.34
RG Sharma|Dr DY Patil Sports Academy|16.12
RG Sharma|Eden Gardens|40.91
RG Sharma|Himachal Pradesh Cricket Association Stadium|18.53
RG Sharma|Kingsmead|16.66
RG Sharma|MA Chidambaram Stadium, Chepauk|42.02
RG Sharma|New Wanderers Stadium|18.11
RG Sharma|Punjab Cricket Association Stadium, Mohali|18.22
RG Sharma|Rajiv Gandhi International Stadium, Uppal|38.49
RG Sharma|Sardar Patel Stadium, Motera|17.27
RG Sharma|Sharjah Cricket Stadium|36.91
RG Sharma|St George's Park|17.9
RG Sharma|SuperSport Park|18.89
RG Sharma|Vidarbha Cricket Association Stadium, Jamtha|18.35
RG Sharma|Wankhede Stadium|40.5
RG Sharma|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|14.5
RG Sharma|Dubai International Cricket Stadium|36.03
RG Sharma|Feroz Shah Kotla|37.0
RG Sharma|Green Park|14.42
RG Sharma|Holkar Cricket Stadium|27.12
RG Sharma|M Chinnaswamy Stadium|13.72
RG Sharma|M.Chinnaswamy Stadium|27.12
RG Sharma|Maharashtra Cricket Association Stadium|44.08
RG Sharma|Newlands|15.47
RG Sharma|Punjab Cricket Association IS Bindra Stadium, Mohali|36.58
RG Sharma|Saurashtra Cricket Association Stadium|12.55
RG Sharma|Sawai Mansingh Stadium|31.92
RG Sharma|Sheikh Zayed Stadium|39.92
RG Sharma|Subrata Roy Sahara Stadium|13.67
RJ Harris|Brabourne Stadium|16.3
RJ Harris|Buffalo Park|13.53
RJ Harris|De Beers Diamond Oval|12.08
RJ Harris|Dr DY Patil Sports Academy|16.94
RJ Harris|Eden Gardens|12.08
RJ Harris|Feroz Shah Kotla|13.53
RJ Harris|Himachal Pradesh Cricket Association Stadium|16.69
RJ Harris|Holkar Cricket Stadium|15.83
RJ Harris|M Chinnaswamy Stadium|18.48
RJ Harris|New Wanderers Stadium|15.74
RJ Harris|Punjab Cricket Association Stadium, Mohali|15.83
RJ Harris|Rajiv Gandhi International Stadium, Uppal|13.95
RJ Harris|Sawai Mansingh Stadium|13.6
RJ Harris|Subrata Roy Sahara Stadium|13.95
RJ Harris|SuperSport Park|15.66
RJ Harris|Vidarbha Cricket Association Stadium, Jamtha|18.98
RJ Harris|Wankhede Stadium|17.28
RJ Peterson|Feroz Shah Kotla|13.21
RJ Peterson|Punjab Cricket Association Stadium, Mohali|8.64
RJ Peterson|Wankhede Stadium|7.48
RJ Peterson|Subrata Roy Sahara Stadium|4.2
RN ten Doeschate|Barabati Stadium|3.6
RN ten Doeschate|Eden Gardens|10.11
RN ten Doeschate|JSCA International Stadium Complex|10.12
RN ten Doeschate|M Chinnaswamy Stadium|10.49
RN ten Doeschate|Rajiv Gandhi International Stadium, Uppal|9.11
RN ten Doeschate|Sardar Patel Stadium, Motera|8.14
RN ten Doeschate|Subrata Roy Sahara Stadium|10.46
RN ten Doeschate|Feroz Shah Kotla|7.84
RN ten Doeschate|MA Chidambaram Stadium, Chepauk|9.86
RN ten Doeschate|Maharashtra Cricket Association Stadium|7.01
RN ten Doeschate|Wankhede Stadium|12.26
RP Singh|Barabati Stadium|10.47
RP Singh|Buffalo Park|11.26
RP Singh|De Beers Diamond Oval|10.49
RP Singh|Dr DY Patil Sports Academy|11.88
RP Singh|Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium|11.43
RP Singh|Eden Gardens|12.12
RP Singh|Feroz Shah Kotla|10.56
RP Singh|Himachal Pradesh Cricket Association Stadium|11.43
RP Singh|Holkar Cricket Stadium|14.24
RP Singh|Kingsmead|11.26
RP Singh|M Chinnaswamy Stadium|11.97
RP Singh|MA Chidambaram Stadium, Chepauk|11.43
RP Singh|Nehru Stadium|11.52
RP Singh|New Wanderers Stadium|11.73
RP Singh|Newlands|16.12
RP Singh|Punjab Cricket Association Stadium, Mohali|10.17
RP Singh|Rajiv Gandhi International Stadium, Uppal|11.39
RP Singh|Sardar Patel Stadium, Motera|9.31
RP Singh|Saurashtra Cricket Association Stadium|9.55
RP Singh|Sawai Mansingh Stadium|10.28
RP Singh|St George's Park|13.3
RP Singh|Subrata Roy Sahara Stadium|11.43
RP Singh|SuperSport Park|13.13
RP Singh|Vidarbha Cricket Association Stadium, Jamtha|13.21
RP Singh|Wankhede Stadium|11.41
